<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BBC,20100104,04-01-10,21.865,22.7001,21.865,22.701,144870
BBC,20091231,31-12-09,22.0168,22.0168,21.5613,21.6381,122280
BBC,20091230,30-12-09,21.2576,22.0168,21.1817,21.6381,146510
BBC,20091229,29-12-09,22.0168,22.0168,21.2576,21.2585,84590
BBC,20091228,28-12-09,21.4854,22.3964,21.4094,21.9418,62100
BBC,20091225,25-12-09,22.0927,22.4723,22.0168,22.2455,115380
BBC,20091224,24-12-09,21.1817,21.6372,20.878,21.6381,95600
BBC,20091223,23-12-09,21.1817,21.2576,20.8021,21.1826,130240
BBC,20091222,22-12-09,20.4225,20.8021,19.8151,20.4993,99270
BBC,20091221,21-12-09,19.8151,19.8151,19.7392,19.816,61710
BBC,20091218,18-12-09,18.6763,18.9041,18.6763,18.9049,50890
BBC,20091217,17-12-09,18.069,18.6004,17.9171,18.0697,46550
BBC,20091216,16-12-09,18.98,19.0559,18.5245,18.6012,190830
BBC,20091215,15-12-09,19.2837,19.7392,19.2078,19.4363,90670
BBC,20091214,14-12-09,19.0559,20.4984,18.98,19.2845,135390
BBC,20091211,11-12-09,20.5743,20.6502,19.5874,19.5882,77720
BBC,20091210,10-12-09,22.0927,22.0927,20.5743,20.5752,94170
BBC,20091209,09-12-09,21.865,21.865,21.6372,21.6381,122870
BBC,20091208,08-12-09,23.2315,23.2315,22.3964,22.701,26880
BBC,20091207,07-12-09,23.3834,23.3834,22.776,22.777,24810
BBC,20091204,04-12-09,23.3074,23.3074,22.776,22.777,15830
BBC,20091203,03-12-09,22.5482,23.1556,22.3964,22.6251,39340
BBC,20091202,02-12-09,23.5352,24.0666,23.1556,23.1566,64500
BBC,20091201,01-12-09,24.2944,24.4462,23.763,24.2195,56550
BBC,20091130,30-11-09,24.0666,24.1426,23.6111,23.688,69000
BBC,20091127,27-11-09,21.6372,23.763,21.6372,23.5362,168220
BBC,20091126,26-11-09,22.7001,22.7001,22.7001,22.701,37370
BBC,20091125,25-11-09,24.3703,25.0536,23.8389,23.8399,151400
BBC,20091124,24-11-09,25.4332,26.1924,24.2944,25.0547,123960
BBC,20091123,23-11-09,26.572,26.572,25.4332,25.4343,119640
BBC,20091120,20-11-09,26.7998,27.1034,26.3442,26.5731,151130
BBC,20091119,19-11-09,25.8887,26.572,25.5091,26.5731,85650
BBC,20091118,18-11-09,25.8128,25.8887,25.2054,25.8898,60590
BBC,20091117,17-11-09,26.1924,26.2683,25.5091,25.8139,62500
BBC,20091116,16-11-09,26.572,26.9516,26.1165,26.1176,116820
BBC,20091113,13-11-09,25.8887,27.1034,25.8887,26.9527,152310
BBC,20091112,12-11-09,25.8887,27.1034,25.8128,26.9527,195050
BBC,20091111,11-11-09,25.8128,25.8128,25.0536,25.8139,169110
BBC,20091110,10-11-09,25.9646,25.9646,23.9907,25.2065,114380
BBC,20091109,09-11-09,25.3573,26.1924,25.2054,25.2065,231050
BBC,20091106,06-11-09,26.4202,26.4961,26.1924,26.4972,270120
BBC,20091105,05-11-09,24.9777,25.2814,24.4462,25.2824,151760
BBC,20091104,04-11-09,24.2944,25.0536,23.9148,24.1436,288510
BBC,20091103,03-11-09,26.1165,26.1165,24.5222,24.5991,174570
BBC,20091102,02-11-09,25.8887,25.9646,25.661,25.738,125120
BBC,20091030,30-10-09,27.7108,27.7108,26.7998,26.9527,271000
BBC,20091029,29-10-09,26.9516,27.3312,26.572,26.6491,207190
BBC,20091028,28-10-09,28.0904,28.3941,27.3312,27.712,172050
BBC,20091027,27-10-09,27.7108,28.0904,26.9516,27.4083,158460
BBC,20091026,26-10-09,29.2292,29.2292,27.9386,28.0916,123330
BBC,20091023,23-10-09,30.368,30.368,28.6978,28.699,224860
BBC,20091022,22-10-09,30.7476,31.0513,30.0643,30.0656,427910
BBC,20091021,21-10-09,29.9884,30.6717,29.6088,30.5211,361170
BBC,20091020,20-10-09,29.8366,30.0643,29.457,29.8378,315880
BBC,20091019,19-10-09,28.6978,29.3051,28.6978,29.1545,159970
BBC,20091016,16-10-09,30.1402,30.1402,29.2292,29.2304,293660
BBC,20091015,15-10-09,31.0513,31.0513,29.6088,29.9897,232570
BBC,20091014,14-10-09,29.381,30.1402,29.381,29.9897,121490
BBC,20091013,13-10-09,30.368,31.1272,29.5329,29.7619,417550
BBC,20091012,12-10-09,28.8496,29.9884,28.8496,29.9897,260180
BBC,20091009,09-10-09,28.8496,28.8496,28.2422,28.6231,205060
BBC,20091008,08-10-09,27.7108,27.7108,26.9516,27.712,82020
BBC,20091007,07-10-09,27.2553,27.7108,26.9516,27.712,376410
BBC,20091006,06-10-09,27.3312,27.3312,25.8128,26.9527,173160
BBC,20091005,05-10-09,27.7108,27.7108,26.0406,26.5731,160140
BBC,20091002,02-10-09,27.483,27.8626,27.1034,27.1805,284690
BBC,20091001,01-10-09,28.9255,29.0774,28.47,28.4712,169580
BBC,20090930,30-09-09,29.2292,29.457,28.9255,28.9267,305220
BBC,20090929,29-09-09,29.0014,29.9125,28.8496,29.0786,297620
BBC,20090928,28-09-09,30.2162,30.2162,28.8496,28.8508,182750
BBC,20090925,25-09-09,29.2292,29.9125,29.0014,29.9138,354560
BBC,20090924,24-09-09,28.9255,30.0643,28.9255,29.0027,306080
BBC,20090923,23-09-09,31.2031,31.2031,30.0643,30.0656,365880
BBC,20090922,22-09-09,31.8864,32.266,31.1272,31.1285,287790
BBC,20090921,21-09-09,32.6456,32.6456,32.266,32.3433,322020
BBC,20090918,18-09-09,31.8105,31.8864,31.355,31.8878,423250
BBC,20090917,17-09-09,30.7476,30.9754,30.368,30.9767,453470
BBC,20090916,16-09-09,30.2921,30.368,29.457,29.5341,245020
BBC,20090915,15-09-09,31.1272,31.355,29.9884,30.3693,263730
BBC,20090914,14-09-09,31.1272,31.8864,30.9754,31.1285,308790
BBC,20090911,11-09-09,31.5068,32.1901,31.355,31.8118,431970
BBC,20090910,10-09-09,30.8235,31.8105,30.8235,31.2804,276360
BBC,20090909,09-09-09,31.8864,31.8864,30.8235,31.2804,362880
BBC,20090908,08-09-09,30.368,30.8235,29.6088,30.8248,362430
BBC,20090907,07-09-09,28.5459,29.9125,28.0904,29.4582,424480
BBC,20090904,04-09-09,28.2422,28.6978,27.7867,28.5471,321630
BBC,20090903,03-09-09,28.5459,28.7737,28.3182,28.5471,373730
BBC,20090901,01-09-09,29.1533,29.2292,28.47,28.699,215840
BBC,20090831,31-08-09,29.5329,29.5329,28.47,29.1545,488040
