<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20121225,25-12-12,8.8046,8.8312,8.7516,8.8071,189040
FPT,20121224,24-12-12,8.672,8.8312,8.672,8.8071,156090
FPT,20121221,21-12-12,8.6986,8.7516,8.566,8.6479,202750
FPT,20121220,20-12-12,8.8842,8.8842,8.6986,8.701,71260
FPT,20121219,19-12-12,8.7251,8.9372,8.6455,8.8336,151080
FPT,20121218,18-12-12,8.619,8.7251,8.5925,8.5949,95270
FPT,20121217,17-12-12,8.7516,8.8577,8.6986,8.7275,89860
FPT,20121214,14-12-12,8.7781,8.8842,8.7516,8.754,61370
FPT,20121213,13-12-12,8.7781,8.8577,8.7251,8.8071,139170
FPT,20121212,12-12-12,8.619,8.8842,8.619,8.754,144700
FPT,20121211,11-12-12,8.619,8.672,8.619,8.6214,41280
FPT,20121210,10-12-12,8.619,8.672,8.5925,8.6744,37500
FPT,20121207,07-12-12,8.566,8.6455,8.5394,8.5683,40580
FPT,20121206,06-12-12,8.5925,8.672,8.5925,8.6214,66360
FPT,20121205,05-12-12,8.6986,8.8046,8.566,8.6744,107150
FPT,20121204,04-12-12,8.2786,8.4329,8.2529,8.4356,93650
FPT,20121203,03-12-12,8.4072,8.4072,8.33,8.3584,54360
FPT,20121130,30-11-12,8.4072,8.4329,8.3815,8.4099,44430
FPT,20121129,29-11-12,8.4843,8.51,8.3815,8.3842,73740
FPT,20121128,28-11-12,8.6129,8.6129,8.4843,8.487,44390
FPT,20121127,27-11-12,8.6643,8.69,8.5871,8.5899,49420
FPT,20121126,26-11-12,8.7414,8.7414,8.6643,8.6671,38540
FPT,20121123,23-11-12,8.7671,8.7671,8.7157,8.7185,31930
FPT,20121122,22-11-12,8.7414,8.7414,8.69,8.7185,39450
FPT,20121121,21-11-12,8.8185,8.8185,8.7157,8.7185,20910
FPT,20121120,20-11-12,8.6643,8.7671,8.6643,8.7442,22050
FPT,20121119,19-11-12,8.9471,8.9471,8.7414,8.7442,32930
FPT,20121116,16-11-12,8.9728,8.9728,8.87,8.8728,17580
FPT,20121115,15-11-12,8.9985,8.9985,8.9214,8.9242,45690
FPT,20121114,14-11-12,9.0242,9.0242,8.9471,9.0014,31510
FPT,20121113,13-11-12,9.0242,9.0499,8.9728,8.9757,31120
FPT,20121112,12-11-12,8.8185,9.0499,8.8185,9.0014,99430
FPT,20121109,09-11-12,8.7414,8.7671,8.69,8.7442,23200
FPT,20121108,08-11-12,8.7928,8.7928,8.69,8.7442,36430
FPT,20121107,07-11-12,8.7157,8.7928,8.6643,8.7442,44590
FPT,20121106,06-11-12,8.8442,8.8442,8.6129,8.6156,44860
FPT,20121105,05-11-12,8.3815,8.7671,8.3558,8.7185,97960
FPT,20121102,02-11-12,8.8185,8.8957,8.7671,8.7699,96810
FPT,20121101,01-11-12,9.1013,9.2556,9.1013,9.2071,70110
FPT,20121031,31-10-12,9.2299,9.2556,9.2042,9.2071,91490
FPT,20121030,30-10-12,9.2299,9.307,9.2299,9.2329,94430
FPT,20121029,29-10-12,9.307,9.3584,9.307,9.3357,47580
FPT,20121026,26-10-12,9.3842,9.3842,9.307,9.3615,31920
FPT,20121025,25-10-12,9.307,9.3842,9.307,9.3872,61750
FPT,20121024,24-10-12,9.3842,9.4099,9.3842,9.3872,81980
FPT,20121023,23-10-12,9.3842,9.4099,9.3584,9.3872,76660
FPT,20121022,22-10-12,9.487,9.487,9.3842,9.3872,57430
FPT,20121019,19-10-12,9.5127,9.5127,9.3584,9.4129,60110
FPT,20121018,18-10-12,9.5384,9.5384,9.4356,9.4386,60410
FPT,20121017,17-10-12,9.5127,9.5898,9.5127,9.5415,26680
FPT,20121016,16-10-12,9.4613,9.5641,9.4613,9.5415,67270
FPT,20121015,15-10-12,9.5127,9.5641,9.487,9.49,63990
FPT,20121012,12-10-12,9.6155,9.667,9.5384,9.5415,45680
FPT,20121011,11-10-12,9.7184,9.7184,9.6155,9.6186,160130
FPT,20121010,10-10-12,9.6413,9.6413,9.5898,9.6444,42760
FPT,20121009,09-10-12,9.5127,9.7698,9.487,9.5672,143640
FPT,20121008,08-10-12,9.4099,9.5384,9.4099,9.49,64880
FPT,20121005,05-10-12,9.5127,9.5127,9.4613,9.4643,46100
FPT,20121004,04-10-12,9.487,9.5384,9.4613,9.4643,93060
FPT,20121003,03-10-12,9.487,9.5641,9.487,9.49,65800
FPT,20121002,02-10-12,9.487,9.5384,9.4356,9.49,110610
FPT,20121001,01-10-12,9.6155,9.667,9.4356,9.49,74140
FPT,20120928,28-09-12,9.7698,9.8726,9.7184,9.7472,94180
FPT,20120927,27-09-12,9.5898,9.9755,9.5384,9.7729,254170
FPT,20120926,26-09-12,9.4613,9.5384,9.3842,9.5158,129510
FPT,20120925,25-09-12,9.4613,9.4613,9.3842,9.4129,126430
FPT,20120924,24-09-12,9.4613,9.4613,9.3842,9.4129,104050
FPT,20120921,21-09-12,9.487,9.5641,9.4356,9.4643,49890
FPT,20120920,20-09-12,9.4613,9.5641,9.3842,9.4386,138350
FPT,20120919,19-09-12,9.4356,9.6413,9.3584,9.4386,486130
FPT,20120918,18-09-12,9.8726,9.9241,9.7184,9.7215,168920
FPT,20120917,17-09-12,9.9498,9.9755,9.8469,9.9273,98290
FPT,20120914,14-09-12,10.0783,10.0783,9.9498,9.953,143660
FPT,20120913,13-09-12,10.0012,10.0012,9.8469,9.953,142710
FPT,20120912,12-09-12,9.8726,10.0783,9.8726,9.953,55010
FPT,20120911,11-09-12,9.5641,9.9498,9.5641,9.9015,91990
FPT,20120910,10-09-12,10.1297,10.1297,9.7955,9.8758,94970
FPT,20120907,07-09-12,10.1297,10.1555,10.0269,10.1073,105620
FPT,20120906,06-09-12,10.284,10.4126,10.0526,10.133,146150
FPT,20120905,05-09-12,10.7468,10.7725,10.4126,10.4159,172150
FPT,20120904,04-09-12,10.7725,10.8239,10.4383,10.7502,196570
FPT,20120831,31-08-12,9.8212,10.3097,9.7955,10.313,490150
FPT,20120830,30-08-12,9.8212,9.8984,9.7698,9.8244,556380
FPT,20120829,29-08-12,10.0269,10.0269,9.7698,9.8244,516890
FPT,20120828,28-08-12,10.0783,10.284,9.7441,9.7987,387150
FPT,20120827,27-08-12,10.8239,10.8239,10.0526,10.0558,327330
FPT,20120824,24-08-12,10.04,10.793,10.0149,10.5697,166690
FPT,20120823,23-08-12,11.044,11.044,10.4918,10.4944,306220
FPT,20120822,22-08-12,11.044,11.295,10.9938,11.0467,175470
FPT,20120821,21-08-12,11.546,11.546,11.0189,11.0467,424710
FPT,20120820,20-08-12,11.546,11.5962,11.4205,11.574,87130
FPT,20120817,17-08-12,11.295,11.546,11.295,11.4233,219300
FPT,20120816,16-08-12,11.6464,11.7468,11.4958,11.4986,324050
FPT,20120815,15-08-12,11.5711,11.6464,11.546,11.574,398780
FPT,20120814,14-08-12,11.4958,11.7719,11.4958,11.6242,223310
FPT,20120813,13-08-12,11.8221,11.8221,11.5209,11.6744,155720
FPT,20120810,10-08-12,11.8221,11.8221,11.4958,11.4986,461230
FPT,20120809,09-08-12,11.8221,11.8723,11.6966,11.7748,324860
FPT,20120808,08-08-12,11.8221,11.8472,11.797,11.825,71270
