<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BID,20170523,23-05-17,17.2371,17.9397,17.0029,17.3782,10107090
BID,20170522,22-05-17,16.3003,17.2371,16.3003,17.2377,15701040
BID,20170519,19-05-17,15.7851,16.113,15.6914,16.1135,5387170
BID,20170518,18-05-17,15.6446,15.9724,15.5977,15.7387,3270310
BID,20170517,17-05-17,15.7382,15.8319,15.5977,15.645,2289770
BID,20170516,16-05-17,15.9256,15.9724,15.6446,15.8324,3557650
BID,20170515,15-05-17,15.8319,15.8788,15.6446,15.8324,3094730
BID,20170512,12-05-17,15.9256,16.2066,15.8319,15.8793,3232780
BID,20170511,11-05-17,16.0193,16.1598,15.9256,15.9261,3438740
BID,20170510,10-05-17,15.5509,16.2066,15.5509,16.0198,6204060
BID,20170509,09-05-17,15.3635,15.6446,15.3167,15.5514,3390050
BID,20170508,08-05-17,15.5977,15.5977,15.2698,15.4577,2750130
BID,20170505,05-05-17,15.7382,15.7382,15.3635,15.5045,2558190
BID,20170504,04-05-17,15.5509,15.9724,15.4104,15.7387,3603070
BID,20170503,03-05-17,15.5509,15.7382,15.4572,15.5514,2134200
BID,20170428,28-04-17,15.2698,15.6446,15.2698,15.5514,4054470
BID,20170427,27-04-17,15.4572,15.6446,15.4104,15.5514,1305200
BID,20170426,26-04-17,15.2698,15.6914,15.1293,15.4577,3093360
BID,20170425,25-04-17,15.3635,15.4572,15.1762,15.3172,2039700
BID,20170424,24-04-17,15.4572,15.5509,15.2698,15.3172,915040
BID,20170421,21-04-17,15.6914,15.8319,15.4572,15.5045,2322130
BID,20170420,20-04-17,15.2698,15.8319,15.1293,15.5514,3276820
BID,20170419,19-04-17,15.4572,15.4572,15.2698,15.2703,2200740
BID,20170418,18-04-17,15.3635,15.4572,15.1762,15.4577,3394390
BID,20170417,17-04-17,15.9256,15.9724,15.3635,15.364,2640550
BID,20170414,14-04-17,15.6446,15.9724,15.4104,15.9729,4089000
BID,20170413,13-04-17,15.8319,16.0193,15.7382,15.8324,4017550
BID,20170412,12-04-17,15.9256,16.113,15.7382,15.9261,3272610
BID,20170411,11-04-17,15.9256,15.9724,15.6914,15.9261,3274570
BID,20170410,10-04-17,16.113,16.1598,15.9256,15.9261,3210070
BID,20170407,07-04-17,16.0193,16.1598,15.7382,16.0198,4065580
BID,20170405,05-04-17,16.113,16.2535,16.0193,16.0666,3256600
BID,20170404,04-04-17,16.2066,16.3472,15.9724,16.1135,3160690
BID,20170403,03-04-17,16.3472,16.4408,16.0661,16.0666,3046160
BID,20170331,31-03-17,16.6282,16.6282,16.3003,16.4414,2402720
BID,20170330,30-03-17,16.3003,16.7219,16.2535,16.6287,5467270
BID,20170329,29-03-17,16.3472,16.3472,16.0193,16.3008,4029300
BID,20170328,28-03-17,16.4877,16.675,16.3003,16.3008,3129920
