<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
CMG,20171025,25-10-17,15.7253,15.9859,15.7253,15.8123,40700
CMG,20171024,24-10-17,15.3778,16.5072,15.3778,15.8991,189460
CMG,20171023,23-10-17,15.5515,15.6384,15.3778,15.5516,14280
CMG,20171020,20-10-17,15.8122,15.899,15.2909,15.5951,72100
CMG,20171019,19-10-17,16.2031,16.4203,15.6384,15.8123,78260
CMG,20171018,18-10-17,15.7253,16.5072,15.6384,16.2032,143230
CMG,20171017,17-10-17,14.9434,15.7687,14.7696,15.7254,365770
CMG,20171016,16-10-17,14.8565,14.9434,14.7696,14.7697,18250
CMG,20171013,13-10-17,14.7696,14.9434,14.5958,14.9435,28280
CMG,20171012,12-10-17,14.5958,14.7696,14.509,14.5959,73280
CMG,20171011,11-10-17,14.9434,14.9434,14.6827,14.6828,8660
CMG,20171010,10-10-17,15.204,15.204,14.6827,14.7697,29860
CMG,20171009,09-10-17,14.8565,14.8565,14.6827,14.6828,1950
CMG,20171006,06-10-17,14.7696,14.7696,14.5958,14.5959,47080
CMG,20171005,05-10-17,14.9434,14.9434,14.7696,14.7697,39780
CMG,20171004,04-10-17,14.7696,14.7696,14.5958,14.7697,17800
CMG,20171003,03-10-17,14.7696,14.9868,14.5958,14.6828,19660
CMG,20171002,02-10-17,15.0302,15.0302,14.5958,14.9869,12120
CMG,20170929,29-09-17,14.8565,14.8565,14.509,14.5091,28100
CMG,20170928,28-09-17,14.8565,15.0302,14.509,14.5091,14570
CMG,20170927,27-09-17,14.9434,15.0302,14.7696,14.7697,30910
CMG,20170926,26-09-17,15.0737,15.0737,14.8565,14.8566,19290
CMG,20170925,25-09-17,15.2909,15.2909,14.8565,15.0303,11510
CMG,20170922,22-09-17,14.9434,15.204,14.9434,15.1172,71610
CMG,20170921,21-09-17,14.6827,14.9434,14.6827,14.9435,72470
CMG,20170920,20-09-17,14.4221,14.6827,14.3352,14.6828,45200
CMG,20170919,19-09-17,14.6827,14.7696,14.5958,14.6828,21750
CMG,20170918,18-09-17,14.7696,14.7696,14.5958,14.6828,15630
CMG,20170915,15-09-17,14.7696,14.8999,14.5958,14.6828,29380
CMG,20170914,14-09-17,14.5958,14.9434,14.509,14.5091,51180
CMG,20170913,13-09-17,14.6827,14.8565,14.5958,14.5959,35460
CMG,20170912,12-09-17,14.6827,14.6827,14.509,14.6828,2070
CMG,20170911,11-09-17,14.7696,14.7696,14.509,14.7697,13830
CMG,20170908,08-09-17,14.2483,14.9434,14.2483,14.9435,26770
CMG,20170907,07-09-17,14.9434,15.204,14.7696,15.0303,77040
CMG,20170906,06-09-17,14.5958,15.204,14.5958,14.9869,115370
CMG,20170905,05-09-17,14.509,14.6827,14.2049,14.5091,12290
CMG,20170901,01-09-17,14.6393,14.6393,14.4655,14.5091,6870
CMG,20170831,31-08-17,14.5958,14.5958,14.2483,14.3353,32070
CMG,20170830,30-08-17,14.4221,14.509,14.3352,14.4222,43600
CMG,20170829,29-08-17,13.9008,14.3352,13.9008,14.0746,12940
CMG,20170828,28-08-17,14.3352,14.3352,13.9008,13.9443,35370
CMG,20170825,25-08-17,14.4655,14.4655,13.9877,13.9878,9210
CMG,20170824,24-08-17,14.3352,14.6827,14.1614,14.1615,9220
CMG,20170823,23-08-17,14.5958,14.5958,14.509,14.5091,7530
CMG,20170822,22-08-17,13.6402,14.509,13.6402,14.5091,187170
CMG,20170821,21-08-17,13.727,13.727,13.5533,13.5968,37320
CMG,20170818,18-08-17,13.9008,13.9442,13.6402,13.6402,44150
CMG,20170817,17-08-17,14.1614,14.2049,13.9877,13.9878,11300
CMG,20170816,16-08-17,14.2483,14.3352,13.9008,14.205,43640
CMG,20170815,15-08-17,14.4221,14.6827,14.2483,14.2484,36070
CMG,20170814,14-08-17,14.509,14.509,14.1614,14.4222,19570
CMG,20170811,11-08-17,14.7262,14.7262,14.2483,14.5091,6990
CMG,20170810,10-08-17,14.4221,14.7696,14.2483,14.6828,29650
CMG,20170809,09-08-17,14.7582,14.7582,14.3483,14.5956,42470
CMG,20170808,08-08-17,14.8402,14.8402,14.5122,14.7596,80650
CMG,20170807,07-08-17,14.7582,14.7582,14.5122,14.7596,50160
CMG,20170804,04-08-17,14.5122,14.7172,14.5122,14.7186,40040
CMG,20170803,03-08-17,14.9632,14.9632,14.6352,14.6366,54210
CMG,20170802,02-08-17,14.6762,14.7582,14.1843,14.6776,89480
CMG,20170801,01-08-17,14.5942,14.5942,14.4302,14.5956,30540
CMG,20170731,31-07-17,14.6762,14.6762,14.3073,14.5136,51980
CMG,20170728,28-07-17,14.4302,14.5122,14.2663,14.5136,32330
CMG,20170727,27-07-17,13.9383,14.4302,13.9383,14.3086,75420
CMG,20170726,26-07-17,13.9383,13.9383,13.5693,13.8986,17760
CMG,20170725,25-07-17,13.9383,13.9383,13.5693,13.8986,10520
CMG,20170724,24-07-17,13.9383,13.9383,13.5284,13.5296,28170
CMG,20170721,21-07-17,14.5122,14.5122,13.7333,13.7346,25500
CMG,20170720,20-07-17,13.2824,13.9383,13.2824,13.6116,40990
CMG,20170719,19-07-17,13.5284,14.1843,13.4464,13.9396,86780
CMG,20170718,18-07-17,13.9383,14.1023,13.6103,13.9396,147540
CMG,20170717,17-07-17,14.5122,14.6762,14.3483,14.5136,93220
CMG,20170714,14-07-17,15.2501,15.2501,14.1843,14.1856,43400
CMG,20170713,13-07-17,14.1023,14.6352,14.1023,14.6366,440600
CMG,20170712,12-07-17,13.6103,13.6923,13.2824,13.6936,108390
CMG,20170711,11-07-17,13.2824,13.7743,13.2004,13.4476,71770
CMG,20170710,10-07-17,13.5284,13.5284,13.1184,13.2837,66860
CMG,20170707,07-07-17,13.4464,13.6513,13.1184,13.3657,132330
CMG,20170706,06-07-17,13.4464,13.5284,13.1184,13.3657,28720
CMG,20170705,05-07-17,13.3644,13.7743,13.1184,13.5296,25990
CMG,20170704,04-07-17,13.0774,13.8563,13.0364,13.4067,35720
CMG,20170703,03-07-17,13.2004,13.5284,12.9544,13.0787,131910
CMG,20170630,30-06-17,13.9383,13.9383,13.3644,13.5296,81460
CMG,20170629,29-06-17,14.1023,14.1023,13.4464,14.0216,131160
CMG,20170628,28-06-17,13.9383,14.2663,13.9383,14.0626,118310
CMG,20170627,27-06-17,14.7582,14.7582,13.9383,14.0216,407620
CMG,20170626,26-06-17,15.0042,15.1682,14.5942,14.8826,67910
CMG,20170623,23-06-17,15.1682,15.4961,14.8402,15.0876,181250
CMG,20170622,22-06-17,14.0203,14.8812,14.0203,14.8826,807340
CMG,20170621,21-06-17,13.6923,13.9383,13.2824,13.9396,202320
CMG,20170620,20-06-17,12.8724,13.5693,12.8724,13.5706,41310
CMG,20170619,19-06-17,13.1184,13.3644,12.6265,12.8737,15710
CMG,20170616,16-06-17,13.0774,13.0774,12.2985,13.0377,41260
CMG,20170615,15-06-17,13.1184,13.1184,12.6265,13.0787,11960
CMG,20170614,14-06-17,13.2824,13.2824,12.4625,13.1197,38060
CMG,20170613,13-06-17,13.3234,13.3234,13.1184,13.1197,490
CMG,20170612,12-06-17,12.7085,13.1184,12.7085,12.7097,34080
CMG,20170609,09-06-17,12.6265,12.7494,12.4625,12.7097,61910
CMG,20170608,08-06-17,12.5035,12.5445,12.4625,12.5457,3900
CMG,20170607,07-06-17,12.5445,12.5445,12.2985,12.5457,960
CMG,20170606,06-06-17,12.2985,12.2985,12.2165,12.2177,530
CMG,20170605,05-06-17,12.7085,12.7085,12.5445,12.6687,6800
CMG,20170602,02-06-17,12.7904,12.7904,12.7085,12.7097,1010
