<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
VHM,20190603,03-06-19,81.0242,81.0242,78.6528,79.6409,527220
VHM,20190531,31-05-19,82.2099,82.2099,80.0361,81.0242,720930
VHM,20190530,30-05-19,82.6052,82.8028,81.5183,81.6171,930290
VHM,20190529,29-05-19,83.0004,83.198,82.4075,82.6052,921510
VHM,20190528,28-05-19,83.3956,83.5933,82.5064,82.5064,1436600
VHM,20190527,27-05-19,83.486,83.8812,83.3872,83.3956,487560
VHM,20190524,24-05-19,85.6683,85.6683,83.4945,83.4945,854870
VHM,20190523,23-05-19,85.5608,85.5608,85.0668,85.4706,377180
VHM,20190522,22-05-19,85.462,86.8452,85.1656,85.4706,702510
VHM,20190521,21-05-19,86.854,87.0516,85.6683,85.6683,1056700
VHM,20190520,20-05-19,85.4707,85.7671,84.779,85.7671,638340
VHM,20190517,17-05-19,85.9647,85.9647,85.273,85.6683,791790
VHM,20190516,16-05-19,84.9766,86.0635,84.6802,85.9647,953330
VHM,20190515,15-05-19,84.1861,85.4707,84.1861,84.9766,1134300
VHM,20190514,14-05-19,83.0004,84.9766,83.0004,83.9885,1322520
VHM,20190513,13-05-19,82.8028,84.1861,82.8028,83.9885,691670
VHM,20190510,10-05-19,84.5814,84.9766,82.8028,83.0004,980260
VHM,20190509,09-05-19,83.9885,84.5814,82.6052,83.4945,983320
VHM,20190508,08-05-19,85.9647,86.2611,84.3837,84.5814,894240
VHM,20190507,07-05-19,88.7314,88.7314,86.6564,86.854,576290
VHM,20190506,06-05-19,88.929,88.929,87.5457,87.9409,522550
VHM,20190503,03-05-19,90.6984,90.6984,89.3152,89.3242,621150
VHM,20190502,02-05-19,90.896,91.1924,89.8092,90.3123,452510
VHM,20190426,26-04-19,89.1266,90.9052,88.8302,90.9052,1070350
VHM,20190425,25-04-19,88.426,89.1176,88.3272,89.1266,680080
VHM,20190424,24-04-19,88.6326,89.1266,88.6326,88.6326,629420
VHM,20190423,23-04-19,88.6326,88.929,87.8421,87.9409,494910
VHM,20190422,22-04-19,88.6326,88.929,87.5457,88.929,211620
VHM,20190419,19-04-19,87.9409,89.3242,87.9409,87.9409,258960
