<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
VCB,20160406,06-04-16,28.5155,29.211,28.446,29.2112,920280
VCB,20160405,05-04-16,28.446,28.7937,28.3069,28.5157,610190
VCB,20160404,04-04-16,28.6546,28.7242,28.1678,28.4462,439520
VCB,20160401,01-04-16,28.5155,28.7937,28.3764,28.4462,554870
VCB,20160331,31-03-16,29.211,29.3501,28.5155,28.5157,937910
VCB,20160330,30-03-16,28.9328,29.4197,28.9328,29.2808,444490
VCB,20160329,29-03-16,29.837,29.837,29.211,29.2112,325890
VCB,20160328,28-03-16,29.837,29.9065,29.6283,29.7677,533900
VCB,20160325,25-03-16,29.211,29.7674,28.9328,29.7677,1381530
VCB,20160324,24-03-16,29.837,29.9065,29.211,29.2808,825250
VCB,20160323,23-03-16,30.1152,30.1152,29.7674,29.8372,645700
VCB,20160322,22-03-16,29.9065,30.1152,29.7674,30.1154,592130
VCB,20160321,21-03-16,30.1152,30.5325,29.7674,29.8372,1862820
VCB,20160318,18-03-16,29.6283,29.7674,29.3501,29.559,3546350
VCB,20160317,17-03-16,29.6979,30.3934,29.6979,29.6981,1074970
VCB,20160316,16-03-16,29.2806,30.2543,29.2806,30.0459,1864950
VCB,20160315,15-03-16,28.8633,29.2806,28.8633,29.2112,1294120
VCB,20160314,14-03-16,29.0024,29.0024,28.7242,29.0026,807110
VCB,20160311,11-03-16,29.0719,29.1415,28.8633,28.933,510750
VCB,20160310,10-03-16,28.8633,29.0024,28.5155,28.933,643780
VCB,20160309,09-03-16,29.0024,29.1415,28.7242,28.7939,469530
VCB,20160308,08-03-16,29.0719,29.211,28.7937,28.933,775770
VCB,20160307,07-03-16,29.0719,29.3501,29.0024,29.0721,567700
VCB,20160304,04-03-16,28.9328,29.5588,28.8633,29.0721,681190
VCB,20160303,03-03-16,28.9328,29.2806,28.8633,28.933,464550
VCB,20160302,02-03-16,28.5851,29.1415,28.5155,29.0026,647420
VCB,20160301,01-03-16,28.5155,28.8633,28.3069,28.3071,849900
VCB,20160229,29-02-16,29.0719,29.211,28.5155,28.5157,887030
VCB,20160226,26-02-16,29.211,29.211,28.7242,29.2112,493160
VCB,20160225,25-02-16,29.5588,29.9065,28.9328,29.0721,1236220
VCB,20160224,24-02-16,28.5155,29.9065,28.3069,29.4199,1653800
VCB,20160223,23-02-16,28.3069,28.9328,28.3069,28.5157,1130660
VCB,20160222,22-02-16,27.8896,28.1678,27.82,28.0984,653090
VCB,20160219,19-02-16,28.2373,28.2373,27.8896,27.8898,473670
VCB,20160218,18-02-16,27.82,28.446,27.7505,28.0289,735780
VCB,20160217,17-02-16,28.0287,28.2373,27.6809,27.6811,827530
VCB,20160216,16-02-16,27.8896,28.3764,27.8896,28.0289,390050
VCB,20160215,15-02-16,27.6809,28.2373,27.4027,28.0289,800790
VCB,20160205,05-02-16,27.5418,28.0982,27.5418,27.8898,268300
VCB,20160204,04-02-16,27.82,28.2373,27.82,27.8202,286750
VCB,20160203,03-02-16,27.82,27.82,27.3332,27.542,802180
VCB,20160202,02-02-16,28.0982,28.3764,28.0287,28.0984,603810
VCB,20160201,01-02-16,28.7937,28.8633,28.3069,28.3071,223320
VCB,20160129,29-01-16,28.1678,28.7937,28.0287,28.7939,1019250
VCB,20160128,28-01-16,28.0287,28.3764,28.0287,28.168,562170
VCB,20160127,27-01-16,28.7242,28.7242,28.1678,28.168,582060
VCB,20160126,26-01-16,28.1678,28.7242,28.0287,28.2375,656340
VCB,20160125,25-01-16,27.82,29.1415,27.82,29.0026,1367810
VCB,20160122,22-01-16,27.82,27.8896,26.8463,27.542,777540
VCB,20160121,21-01-16,27.4027,27.82,27.1941,27.4029,654450
VCB,20160120,20-01-16,27.82,28.5155,27.4723,27.8202,733790
VCB,20160119,19-01-16,26.8463,28.0982,26.8463,28.0289,771340
VCB,20160118,18-01-16,27.4723,27.82,26.429,26.8465,1614080
VCB,20160115,15-01-16,29.0719,29.211,28.2373,28.2375,880150
