<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
MSN,20151203,03-12-15,45.156,45.474,44.838,45.481,168430
MSN,20151202,02-12-15,45.156,45.156,44.202,45.163,398410
MSN,20151201,01-12-15,44.202,44.838,43.884,44.8449,510310
MSN,20151130,30-11-15,43.884,44.52,43.566,44.5269,1203320
MSN,20151127,27-11-15,44.202,44.52,43.884,43.8908,176500
MSN,20151126,26-11-15,44.52,45.156,44.202,44.5269,372390
MSN,20151125,25-11-15,44.838,44.838,44.202,44.8449,530220
MSN,20151124,24-11-15,45.474,45.792,44.202,44.8449,867410
MSN,20151123,23-11-15,45.792,46.428,45.474,45.481,129960
MSN,20151120,20-11-15,46.11,46.428,46.11,46.1171,1181700
MSN,20151119,19-11-15,46.11,46.428,46.11,46.4352,772000
MSN,20151118,18-11-15,46.11,46.746,46.11,46.4352,541670
MSN,20151117,17-11-15,46.428,46.746,45.792,46.7532,1430700
MSN,20151116,16-11-15,46.428,46.746,45.474,46.7532,1542220
MSN,20151113,13-11-15,46.11,46.746,45.792,46.7532,891760
MSN,20151112,12-11-15,46.428,46.746,45.792,46.7532,987880
MSN,20151111,11-11-15,46.428,46.746,46.11,46.7532,363150
MSN,20151110,10-11-15,47.064,47.064,46.11,46.7532,457570
MSN,20151109,09-11-15,47.064,47.382,46.428,47.0713,477620
MSN,20151106,06-11-15,47.064,47.382,46.746,47.3893,130670
MSN,20151105,05-11-15,47.7,47.7,47.064,47.0713,54650
MSN,20151104,04-11-15,47.064,48.654,46.746,47.3893,961390
MSN,20151103,03-11-15,46.428,46.746,46.428,46.7532,291740
MSN,20151102,02-11-15,47.064,47.064,46.428,46.7532,202820
MSN,20151030,30-10-15,46.428,47.064,46.428,47.0713,241610
MSN,20151029,29-10-15,46.746,47.382,46.428,46.7532,630820
MSN,20151028,28-10-15,46.746,47.064,46.11,47.0713,255940
MSN,20151027,27-10-15,46.428,47.064,46.11,47.0713,271830
MSN,20151026,26-10-15,47.064,47.064,46.428,46.7532,338560
MSN,20151023,23-10-15,47.064,47.382,46.746,47.0713,98100
MSN,20151022,22-10-15,46.746,47.382,46.746,47.0713,103550
MSN,20151021,21-10-15,46.746,47.064,46.428,47.0713,365430
MSN,20151020,20-10-15,47.7,47.7,46.428,47.0713,437050
MSN,20151019,19-10-15,47.7,48.018,47.382,47.3893,240820
MSN,20151016,16-10-15,47.382,48.654,46.746,47.3893,853210
MSN,20151015,15-10-15,47.382,47.382,46.746,47.0713,191440
MSN,20151014,14-10-15,47.064,47.064,46.746,47.0713,316750
MSN,20151013,13-10-15,47.064,47.382,46.746,47.0713,199180
MSN,20151012,12-10-15,47.064,47.382,46.746,47.0713,126450
MSN,20151009,09-10-15,47.382,47.7,47.064,47.0713,237210
MSN,20151008,08-10-15,46.746,47.382,46.746,47.0713,419880
